"SPC","ABBREV","SPC_NMCO","SPC_NMSC","SPC_NMFAM","SPC_LAB","SPECIES_AT_RISK","FLEN_MIN","FLEN_MAX","TLEN_MIN","TLEN_MAX","RWT_MIN","RWT_MAX","K_MIN_ERROR","K_MIN_WARN","K_MAX_ERROR","K_MAX_WARN","FLEN2TLEN_ALPHA","FLEN2TLEN_BETA"
"000",,"Multiple Species",,,"MulSp",FALSE,,,,,,,,,,,,
"010",,"Lamprey Family","Petromyzontidae","PETROMYZONTIDAE","LAMPR",FALSE,100,575,100,575,2,380,0.05,0.07,0.44,0.38,0,1
"011",,"American Brook Lamprey","Lethenteron appendix","PETROMYZONTIDAE","ABLam",FALSE,100,230,100,230,2,24,0.05,0.07,0.44,0.38,0,1
"012",,"Northern Brook Lamprey","Ichthyomyzon fossor","PETROMYZONTIDAE","NBLam",TRUE,100,160,100,160,2,8,0.05,0.07,0.44,0.38,0,1
"013",,"Silver Lamprey","Ichthyomyzon unicuspis","PETROMYZONTIDAE","SiLam",TRUE,100,310,100,310,2,60,0.05,0.07,0.44,0.38,0,1
"014",,"Sea Lamprey","Petromyzon marinus","PETROMYZONTIDAE","SeLam",FALSE,100,575,100,575,2,380,0.05,0.07,0.44,0.38,0,1
"015",,"Ichthyomyzon sp.","Ichthyomyzon sp.","PETROMYZONTIDAE","IchSp",FALSE,100,310,100,310,2,60,0.05,0.07,0.44,0.38,0,1
"016",,"Chestnut Lamprey","Ichthyomyzon castaneus","PETROMYZONTIDAE","ChLam",FALSE,100,230,100,230,2,24,0.05,0.07,0.44,0.38,0,1
"020",,"Paddlefish Family","Polyodontidae","POLYODONTIDAE","PADDL",TRUE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"021",,"Paddlefish","Polyodon spathula","POLYODONTIDAE","Paddl",TRUE,1,2,1,2,1,2,0.01,0.02,0.2,0.1,,
"030",,"Sturgeon Family","Acipenseridae","ACIPENSERIDAE","STURG",TRUE,83,1725,124,1925,7,45810,0.2,0.29,1.19,1.08,35.04782,1.05102
"031",,"Lake Sturgeon","Acipenser fulvescens","ACIPENSERIDAE","LaStu",TRUE,83,1725,124,1925,7,45810,0.2,0.29,1.19,1.08,35.04782,1.05102
"032",,"Caviar",,"ACIPENSERIDAE","Cavia",FALSE,,,,,,,,,,,,
"040",,"Gar Family","Lepisosteidae","LEPISOSTEIDAE","GARS",FALSE,50,1360,50,1360,1,7463,0.1,0.14,0.4,0.36,0,1
"041",,"Longnose Gar","Lepisosteus osseus","LEPISOSTEIDAE","LnGar",FALSE,50,1360,50,1360,1,7463,0.1,0.14,0.4,0.36,0,1
"042",,"Spotted Gar","Lepisosteus oculatus","LEPISOSTEIDAE","SpGar",TRUE,50,805,50,805,1,1252,0.1,0.14,0.4,0.36,0,1
"043",,"Lepisosteus sp.","Lepisosteus sp.","LEPISOSTEIDAE","LptSp",FALSE,50,1360,50,1360,1,7463,0.1,0.14,0.4,0.36,0,1
"044",,"Florida gar","Lepisosteus platyrhinchus","LEPISOSTEIDAE","FlGar",FALSE,50,1360,50,1360,1,7463,0.1,0.14,0.4,0.36,0,1
"050",,"Bowfin Family","Amiidae","AMIIDAE","BOWFI",FALSE,65,885,65,885,2,7001,0.5,0.63,1.52,1.39,0,1
"051",,"Emerald Bowfin","Amia ocellicauda","AMIIDAE","Bowfi",FALSE,65,885,65,885,2,7001,0.5,0.63,1.52,1.39,0,1
"060",,"Herring & Shad Families","Alosidae, Dorosomatidae","ALOSIDAE, DOROSOMATIDAE","HERRI",FALSE,23,552,26,580,0.1,2325,0.22,0.37,2.55,2.33,0.1665,1.14279
"061",,"Alewife","Alosa pseudoharengus","ALOSIDAE","Alewi",FALSE,23,260,26,300,0.1,299,0.22,0.37,1.87,1.67,-2.35598,1.16126
"062",,"American Shad","Alosa sapidissima","ALOSIDAE","AmSha",FALSE,26,552,30,580,0.9,2325,0.52,0.66,2.55,2.33,1.15856,1.13632
"063",,"Gizzard Shad","Dorosoma cepedianum","DOROSOMATIDAE","GiSha",FALSE,26,552,30,580,0.9,2325,0.52,0.66,2.55,2.33,1.15856,1.13632
"064",,"Alosa sp.","Alosa sp.","ALOSIDAE","AloSp",FALSE,23,552,23,580,0.1,2325,0.22,0.37,2.55,2.33,0.1665,1.14279
"065",,"Blueback Herring","Alosa aestivalis","ALOSIDAE","BlbHe",FALSE,23,260,26,300,0.1,299,0.22,0.37,1.87,1.67,-2.35598,1.16126
"066",,"Skipjack Herring","Alosa chrysochloris","ALOSIDAE","SkjHe",FALSE,26,552,30,580,0.9,2325,0.52,0.66,2.55,2.33,1.15856,1.13632
"069",,"Trout, Whitefish, Grayling Family","Salmonidae","SALMONIDAE","SAL",FALSE,8,954,9,1020,0.1,12939,0.11,0.29,2.57,2.34,9.17283,1.07284
"070",,"Salmon & Trout Subfamily","Salmoninae","SALMONINAE","SA_TR",FALSE,24,954,29,1020,0.2,12939,0.32,0.5,2.57,2.34,4.60498,1.07898
"071",,"Pink Salmon","Oncorhynchus gorbuscha","SALMONINAE","PiSal",FALSE,100,559,115,607,14,2272,0.36,0.5,1.9,1.73,7.13505,1.07876
"072",,"Chum Salmon","Oncorhynchus keta","SALMONINAE","CmSal",FALSE,28,790,29,849,0.23,8800,0.45,0.6,2.14,1.94,3.58008,1.06959
"073",,"Coho Salmon","Oncorhynchus kisutch","SALMONINAE","CoSal",FALSE,28,790,29,849,0.23,8800,0.45,0.6,2.14,1.94,3.58008,1.06959
"074",,"Sockeye Salmon","Oncorhynchus nerka","SALMONINAE","SoSal",FALSE,100,559,115,607,14,2272,0.36,0.5,1.9,1.73,7.13505,1.07876
"075",,"Chinook Salmon","Oncorhynchus tshawytscha","SALMONINAE","ChSal",FALSE,29,942,34,994,0.22,12598,0.46,0.6,2.01,1.83,2.8516,1.08415
"076",,"Rainbow Trout","Oncorhynchus mykiss","SALMONINAE","RaTro",FALSE,28,869,31,900,0.4,8141,0.32,0.53,2.21,1.98,7.14095,1.02719
"077",,"Atlantic Salmon","Salmo salar","SALMONINAE","AtSal",FALSE,67,751,87,802,3,5000,0.44,0.57,1.85,1.68,15.67977,1.03375
"078",,"Brown Trout","Salmo trutta","SALMONINAE","BwTro",FALSE,24,860,35,882,0.2,10659,0.54,0.77,2.57,2.34,11.99876,1.00919
"079",,"Arctic Char","Salvelinus alpinus","SALMONINAE","ArCha",FALSE,105,954,115,1020,12,12939,0.38,0.52,2,1.82,6.99357,1.07702
"080",,"Brook Trout","Salvelinus fontinalis","SALMONINAE","BkTro",FALSE,35,557,37,580,1,2600,0.76,0.86,1.71,1.61,3.67524,1.03105
"081",,"Lake Trout","Salvelinus namaycush","SALMONINAE","LaTro",FALSE,105,954,115,1020,12,12939,0.38,0.52,2,1.82,6.99357,1.07702
"082",,"Splake","Salvelinus fontinalis x Salvelinus namaycush","SALMONINAE Hybrids","Splak",FALSE,133,657,142,697,22,3538,0.54,0.71,1.97,1.78,6.71989,1.0499
"083",,"Aurora Trout","Salvelinus fontinalis timagamiensis","SALMONINAE","AuTro",FALSE,35,557,37,580,1,2600,0.76,0.86,1.71,1.61,3.67524,1.03105
"084",,"Oncorhynchus sp.","Oncorhynchus sp.","SALMONINAE","OncSp",FALSE,28,942,29,994,0.22,12598,0.32,0.5,2.21,1.98,9.63418,1.03848
"085",,"Salmo sp.","Salmo sp.","SALMONINAE","SalSp",FALSE,24,860,35,882,0.2,10659,0.54,0.77,2.57,2.34,12.17709,1.00915
"086",,"Salvelinus sp.","Salvelinus sp.","SALMONINAE","SlvSp",FALSE,35,954,37,1020,1,12939,0.38,0.52,2,1.82,1.03779,1.085
"087",,"Lake Trout Backcross","Lake Trout Backcross","SALMONINAE Hybrids","LTBac",FALSE,138,823,147,894,20,7450,0.36,0.53,2.12,1.91,-1.60773,1.07936
"090",,"Whitefish Subfamily","Coregoninae","COREGONINAE","WHITE",FALSE,8,750,9,830,0.1,5422,0.11,0.29,2.13,1.89,3.09082,1.10048
"091",,"Lake Whitefish","Coregonus clupeaformis","COREGONINAE","LaWhi",FALSE,9,750,10,830,0.1,5422,0.36,0.48,1.86,1.69,3.83189,1.10289
"092",,"Longjaw Cisco","Coregonus alpenae","COREGONINAE","LjCis",TRUE,100,355,117,394,13,515,0.23,0.37,1.92,1.72,8.99446,1.08044
"093",,"Cisco (Lake Herring)","Coregonus artedi","COREGONINAE","Cisco",FALSE,8,570,9,601,0.1,2450,0.11,0.29,2.13,1.89,3.34493,1.10055
"094",,"Bloater","Coregonus hoyi","COREGONINAE","Bloat",FALSE,67,358,74,396,3,795,0.32,0.44,1.82,1.65,2.56078,1.10269
"095",,"Deepwater Cisco","Coregonus johannae","COREGONINAE","DwCis",TRUE,67,358,74,396,3,795,0.32,0.44,1.82,1.65,2.56078,1.10269
"096",,"Kiyi","Coregonus kiyi","COREGONINAE","Kiyi",TRUE,147,284,165,316,25,304,0.24,0.35,1.54,1.39,1.26159,1.1151
"097",,"Blackfin Cisco","Coregonus nigripinnis","COREGONINAE","BfCis",TRUE,67,358,74,396,3,795,0.32,0.44,1.82,1.65,2.56078,1.10269
"098",,"Nipigon Cisco","Coregonus nipigon","COREGONINAE","NiCis",FALSE,8,570,9,601,0.1,2450,0.11,0.29,2.13,1.89,3.34493,1.10055
"099",,"Shortnose Cisco","Coregonus reighardi","COREGONINAE","SnCis",TRUE,67,358,74,396,3,795,0.32,0.44,1.82,1.65,2.56078,1.10269
"100",,"Shortjaw Cisco","Coregonus zenithicus","COREGONINAE","SjCis",TRUE,100,355,117,394,13,515,0.23,0.37,1.92,1.72,8.99446,1.08044
"101",,"Pygmy Whitefish","Prosopium coulterii","COREGONINAE","PyWhi",TRUE,50,142,54,157,2,34,0.5,0.6,1.61,1.49,4.58092,1.07271
"102",,"Round Whitefish","Prosopium cylindraceum","COREGONINAE","RoWhi",FALSE,60,527,65,587,3,2500,0.5,0.6,1.61,1.49,4.58092,1.07271
"103",,"Chub (Deepwater Chub)","Coregonus sp.","COREGONINAE","Chub",FALSE,67,358,74,396,3,795,0.24,0.35,1.82,1.65,2.78537,1.10118
"106",,"Coregonus sp.","Coregonus sp.","COREGONINAE","CorSp",FALSE,8,750,9,830,0.1,5422,0.11,0.29,2.13,1.89,2.4667,1.10579
"107",,"Prosopium sp.","Prosopium sp.","COREGONINAE","ProSp",FALSE,60,527,65,587,3,2500,0.5,0.6,1.61,1.49,4.58092,1.07271
"110",,"Grayling Subfamily","Thymallinae","THYMALLINAE","GRAYL",FALSE,8,570,9,601,0.1,2450,0.11,0.29,2.13,1.89,3.34493,1.10055
"111",,"Arctic Grayling","Thymallus arcticus","THYMALLINAE","ArGra",FALSE,8,570,9,601,0.1,2450,0.11,0.29,2.13,1.89,3.34493,1.10055
"120",,"Smelt Family","Osmeridae","OSMERIDAE","SMELT",FALSE,5,300,6,326,0.1,202,0.14,0.24,1.11,1,-0.20883,1.08868
"121",,"Rainbow Smelt","Osmerus mordax","OSMERIDAE","RaSme",FALSE,5,300,6,326,0.1,202,0.14,0.24,1.11,1,-0.20883,1.08868
"130",,"Pike Family","Esocidae","ESOCIDAE","PIKES",FALSE,48,1330,52,1410,1,23587,0.26,0.38,1.48,1.34,1.60517,1.06159
"131",,"Northern Pike","Esox lucius","ESOCIDAE","NoPik",FALSE,48,1100,52,1170,1,14500,0.32,0.4,1.45,1.14,6.82595,1.05147
"132",,"Muskellunge","Esox masquinongy","ESOCIDAE","Muske",FALSE,97,1330,104,1410,5,23587,0.26,0.38,1.48,1.34,28.3542,1.04172
"133",,"Grass Pickerel","Esox americanus vermiculatus","ESOCIDAE","GrPic",TRUE,48,328,52,352,1,266,0.32,0.4,1.08,1,6.82595,1.05147
"134",,"Esox sp.","Esox sp.","ESOCIDAE","EsoSp",FALSE,48,1330,52,1410,1,23587,0.26,0.38,1.48,1.34,1.60517,1.06159
"135",,"Chain Pickerel","Esox niger","ESOCIDAE","ChPic",FALSE,48,990,52,1048,1,7000,0.32,0.4,1.08,1,6.82595,1.05147
"140",,"Mudminnow Family","Umbridae","UMBRIDAE","MUDMI",FALSE,31,98,31,98,1,9,0.05,0.1,2.63,2.22,0,1
"141",,"Central Mudminnow","Umbra limi","UMBRIDAE","CeMud",FALSE,31,98,31,98,1,9,0.05,0.1,2.63,2.22,0,1
"150",,"Mooneye Family","Hiodontidae","HIODONTIDAE","MOONE",FALSE,140,362,153,395,31,743,0.53,0.74,2.18,1.98,,
"151",,"Goldeye","Hiodon alosoides","HIODONTIDAE","Golde",FALSE,140,362,153,395,31,743,0.53,0.74,2.18,1.98,,
"152",,"Mooneye","Hiodon tergisus","HIODONTIDAE","Moone",FALSE,140,362,153,395,31,743,0.53,0.74,2.18,1.98,,
"160",,"Sucker Family","Catostomidae","CATOSTOMIDAE","SUCKE",FALSE,19,711,20,790,1,6000,0.52,0.66,3.18,2.94,-3.33743,1.08634
"161",,"Quillback","Carpiodes cyprinus","CATOSTOMIDAE","Quill",FALSE,50,545,55,615,2,4850,0.92,1.07,3.18,2.94,1.24409,1.13093
"162",,"Longnose Sucker","Catostomus catostomus","CATOSTOMIDAE","LnSuc",FALSE,21,626,22,666,1,2400,0.52,0.66,1.97,1.81,0.55547,1.06532
"163",,"White Sucker","Catostomus commersonii","CATOSTOMIDAE","WhSuc",FALSE,19,596,20,641,1,3000,0.66,0.78,1.93,1.79,-1.08336,1.07745
"164",,"Lake Chubsucker","Erimyzon sucetta","CATOSTOMIDAE","LaChs",TRUE,38,236,42,257,1,200,0.52,0.66,2.42,2.22,-0.12097,1.08555
"165",,"Northern Hog Sucker","Hypentelium nigricans","CATOSTOMIDAE","NHSuc",FALSE,30,386,31,410,1,975,0.48,0.65,2.33,2.11,-1.81831,1.06814
"166",,"Bigmouth Buffalo","Ictiobus cyprinellus","CATOSTOMIDAE","BmBuf",FALSE,50,591,55,670,2,4850,0.92,1.07,3.18,2.94,1.24409,1.13093
"167",,"Spotted Sucker","Minytrema melanops","CATOSTOMIDAE","SpSuc",TRUE,42,448,44,482,1,1265,0.66,0.78,1.93,1.79,-1.08336,1.07745
"168",,"Silver Redhorse","Moxostoma anisurum","CATOSTOMIDAE","SiRed",FALSE,56,670,62,740,3,5700,0.66,0.8,2.34,2.18,-1.84471,1.12563
"169",,"Black Redhorse","Moxostoma duquesnei","CATOSTOMIDAE","BlRed",TRUE,31,711,32,790,1,6000,0.56,0.71,2.42,2.22,-3.35083,1.12444
"170",,"Golden Redhorse","Moxostoma erythrurum","CATOSTOMIDAE","GoRed",FALSE,126,544,140,624,202,2204,0.7,0.81,2.3,2.12,5.84315,1.09169
"171",,"Shorthead Redhorse","Moxostoma macrolepidotum","CATOSTOMIDAE","ShRed",FALSE,71,581,79,660,47,3493,0.72,0.81,2.08,1.94,-2.44036,1.1202
"172",,"Greater Redhorse","Moxostoma valenciennesi","CATOSTOMIDAE","GrRed",FALSE,100,658,127,728,159,5350,0.56,0.71,2.42,2.22,17.9946,1.09115
"173",,"River Redhorse","Moxostoma carinatum","CATOSTOMIDAE","RiRed",TRUE,31,711,32,790,1,6000,0.56,0.71,2.42,2.22,-3.35083,1.12444
"174",,"Black Buffalo","Ictiobus niger","CATOSTOMIDAE","BlBuf",FALSE,50,591,55,670,2,4850,0.92,1.07,3.18,2.94,1.24409,1.13093
"175",,"Smallmouth Buffalo","Ictiobus bubalus","CATOSTOMIDAE","SmBuf",FALSE,50,591,55,670,2,4850,0.92,1.07,3.18,2.94,1.24409,1.13093
"176",,"Catostomus sp.","Catostomus sp.","CATOSTOMIDAE","CatSp",FALSE,19,626,20,666,1,3000,0.52,0.66,1.97,1.81,-0.98603,1.07626
"177",,"Moxostoma sp. (Redhorse Suckers)","Moxostoma sp.","CATOSTOMIDAE","MoxSp",FALSE,31,711,32,790,1,6000,0.56,0.71,2.42,2.22,-3.35083,1.12444
"178",,"Ictiobus sp. (Buffalo Suckers)","Ictiobus sp.","CATOSTOMIDAE","ItbSp",FALSE,50,591,55,670,2,4850,0.92,1.07,3.18,2.94,1.24409,1.13093
"180",,"Carp & Minnow Families","Cyprinidae, Leuciscidae, Tincidae, Xenocyprididae","CYPRINIDAE, LEUCISCIDAE, TINCIDAE, XENOCYPRIDIDAE","CA_MI",FALSE,3,864,5,959,0.1,16250,0.05,0.1,3.04,2.79,-0.05716,1.09707
"181",,"Goldfish","Carassius auratus","CYPRINIDAE","Goldf",FALSE,24,394,28,433,1,1197,0.77,0.96,3.04,2.79,1.85526,1.09478
"182",,"Northern Redbelly Dace","Chrosomus eos","LEUCISCIDAE","NRDac",FALSE,32,65,34,69,1,3,0.07,0.25,2.09,1.83,0.2453,1.06231
"183",,"Finescale Dace","Chrosomus neogaeus","LEUCISCIDAE","FsDac",FALSE,31,74,33,79,1,6,0.25,0.42,1.94,1.74,1.61783,1.03603
"184",,"Redside Dace","Clinostomus elongatus","LEUCISCIDAE","RsDac",TRUE,31,74,33,79,1,6,0.25,0.42,1.94,1.74,1.61783,1.03603
"185",,"Lake Chub","Couesius plumbeus","LEUCISCIDAE","LaChu",FALSE,10,233,11,253,0.1,113,0.36,0.5,1.83,1.66,0.63331,1.0788
"186",,"Common Carp","Cyprinus carpio","CYPRINIDAE","CoCar",FALSE,24,864,28,959,1,16250,0.77,0.96,3.04,2.79,1.85526,1.09478
"187",,"Gravel Chub","Erimystax x-punctatus","LEUCISCIDAE","GrChu",TRUE,20,94,23,106,1,11,0.59,0.68,1.78,1.67,1.01197,1.11656
"188",,"Cutlip Minnow","Exoglossum maxillingua","LEUCISCIDAE","ClMin",TRUE,20,140,22,148,0.1,33,0.05,0.29,2.44,2.14,1.23262,1.05026
"189",,"Brassy Minnow","Hybognathus hankinsoni","LEUCISCIDAE","BrMin",FALSE,37,66,41,70,1,4,0.05,0.29,2.44,2.14,2.59644,1.02768
"190",,"Eastern Silvery Minnow","Hybognathus regius","LEUCISCIDAE","ESMin",FALSE,37,66,41,70,1,4,0.05,0.29,2.44,2.14,2.59644,1.02768
"191",,"Silver Chub","Macrhybopsis storeriana","LEUCISCIDAE","SiChu",TRUE,99,203,111,228,12,117,0.59,0.68,1.78,1.67,1.01197,1.11656
"192",,"Hornyhead Chub","Nocomis biguttatus","LEUCISCIDAE","HhChu",FALSE,45,210,49,222,1,109,0.05,0.1,2.71,2.34,1.35596,1.05097
"193",,"River Chub","Nocomis micropogon","LEUCISCIDAE","RiChu",FALSE,45,210,49,222,1,109,0.05,0.1,2.71,2.34,1.35596,1.05097
"194",,"Golden Shiner","Notemigonus crysoleucas","LEUCISCIDAE","GoShi",FALSE,29,184,32,204,1,92,0.07,0.19,2.52,2.22,0.40984,1.10465
"195",,"Pugnose Shiner","Miniellus anogenus","LEUCISCIDAE","PnShi",TRUE,30,45,33,49,1,2,0.05,0.13,2.69,2.33,1.32597,1.0706
"196",,"Emerald Shiner","Notropis atherinoides","LEUCISCIDAE","EmShi",FALSE,15,123,17,135,0.1,12,0.07,0.21,1.74,1.53,-0.33185,1.10414
"197",,"Bridle Shiner","Notropis bifrenatus","LEUCISCIDAE","BrShi",TRUE,13,55,14,60,0.1,3,0.05,0.13,2.69,2.33,1.32597,1.0706
"198",,"Common Shiner","Luxilus cornutus","LEUCISCIDAE","CoShi",FALSE,12,157,13,172,0.1,45,0.08,0.28,2.19,1.93,0.60627,1.08753
"199",,"Blackchin Shiner","Miniellus heterodon","LEUCISCIDAE","BcShi",FALSE,13,74,14,83,0.1,4,0.05,0.13,2.69,2.33,1.32597,1.0706
"200",,"Blacknose Shiner","Notropis heterolepis","LEUCISCIDAE","BnShi",FALSE,25,72,28,80,1,6,0.05,0.1,2.71,2.33,0.54549,1.10019
"201",,"Spottail Shiner","Hudonius hudsonius","LEUCISCIDAE","SpShi",FALSE,10,147,11,161,0.1,33,0.1,0.3,2.3,2.03,-0.16048,1.10427
"202",,"Rosyface Shiner","Notropis rubellus","LEUCISCIDAE","RoShi",FALSE,14,78,16,85,0.1,4,0.07,0.21,1.74,1.53,0.7897,1.07024
"203",,"Spotfin Shiner","Cyprinella spiloptera","LEUCISCIDAE","SfShi",FALSE,31,104,35,115,1,10,0.24,0.4,2.02,1.8,1.26142,1.08532
"204",,"Sand Shiner","Miniellus stramineus","LEUCISCIDAE","SaShi",FALSE,16,75,17,83,0.1,5,0.05,0.12,2.43,2.11,-0.09574,1.09026
"205",,"Redfin Shiner","Lythrurus umbratilis","LEUCISCIDAE","ReShi",FALSE,10,73,11,81,0.1,5,0.07,0.19,2.52,2.22,0.40984,1.10465
"206",,"Mimic Shiner","Paranotropis volucellus","LEUCISCIDAE","MiShi",FALSE,3,89,5,97,0.1,11,0.05,0.12,2.43,2.11,1.02689,1.08062
"207",,"Pugnose Minnow","Opsopoeodus emiliae","LEUCISCIDAE","PnMin",TRUE,30,45,33,49,0.1,2,0.05,0.13,2.69,2.33,1.32597,1.0706
"208",,"Bluntnose Minnow","Pimephales notatus","LEUCISCIDAE","BnMin",FALSE,13,97,14,105,0.1,9,0.05,0.23,2.39,2.09,1.48247,1.05621
"209",,"Fathead Minnow","Pimephales promelas","LEUCISCIDAE","FhMin",FALSE,19,94,20,100,0.1,9,0.05,0.29,2.44,2.14,1.23262,1.05026
"210",,"Western Blacknose Dace","Rhinichthys obtusus","LEUCISCIDAE","WbDac",FALSE,28,71,30,75,0.3,4,0.08,0.32,2.56,2.24,0.28158,1.05926
"211",,"Longnose Dace","Rhinichthys cataractae","LEUCISCIDAE","LnDac",FALSE,11,117,12,121,0.1,22,0.08,0.32,2.56,2.24,1.31676,1.04772
"212",,"Creek Chub","Semotilus atromaculatus","LEUCISCIDAE","CrChu",FALSE,17,143,152,230,0.1,29,0.05,0.1,2.71,2.34,1.35596,1.05097
"213",,"Fallfish","Semotilus corporalis","LEUCISCIDAE","Fallf",FALSE,50,276,56,300,2,325,0.42,0.56,1.96,1.78,0.12361,1.08407
"214",,"Northern Pearl Dace","Margariscus nachtriebi","LEUCISCIDAE","PeDac",FALSE,10,160,11,173,0.1,21,0.36,0.5,1.83,1.66,0.63331,1.0788
"215",,"Silver Shiner","Notropis photogenis","LEUCISCIDAE","SiShi",TRUE,15,131,17,144,0.1,21,0.07,0.21,1.74,1.53,-0.33185,1.10414
"216",,"Central Stoneroller","Campostoma anomalum","LEUCISCIDAE","CeSto",FALSE,30,107,32,115,0.3,16,0.05,0.29,2.44,2.14,0.25833,1.06774
"217",,"Striped Shiner","Luxilus chrysocephalus","LEUCISCIDAE","StShi",FALSE,12,157,13,172,0.1,45,0.08,0.28,2.19,1.93,0.60627,1.08753
"218",,"Ghost Shiner","Paranotropis buchanani","LEUCISCIDAE","GhShi",FALSE,3,89,5,97,0.1,11,0.05,0.12,2.43,2.11,-0.0012,1.10122
"219",,"Grass Carp","Ctenopharyngodon idella","XENOCYPRIDIDAE","GrCar",FALSE,24,864,28,959,1,16250,0.77,0.96,3.04,2.79,1.85526,1.09478
"220",,"Rudd","Scardinius erythrophthalmus","LEUCISCIDAE","Rudd",FALSE,29,371,32,411,0.3,590,0.07,0.19,2.52,2.22,0.40984,1.10465
"221",,"Chrosomus sp.","Chrosomus sp.","LEUCISCIDAE","PhoSp",FALSE,31,74,33,79,1,6,0.07,0.25,2.09,1.83,0.96264,1.04838
"222",,"Hybognathus sp.","Hybognathus sp.","LEUCISCIDAE","HybSp",FALSE,37,66,41,70,1,4,0.05,0.29,2.44,2.14,2.59644,1.02768
"223",,"Nocomis sp.","Nocomis sp.","LEUCISCIDAE","NocSp",FALSE,45,210,49,222,1,109,0.05,0.1,2.71,2.34,1.35596,1.05097
"224",,"Eastern Shiner sp.","Notropis, Miniellus, Paranotropis, Hudonius sp.","LEUCISCIDAE","NotSp",FALSE,3,147,5,161,0.1,33,0.05,0.1,2.71,2.33,-0.0012,1.10122
"225",,"Pimephales sp.","Pimephales sp.","LEUCISCIDAE","PimSp",FALSE,13,97,14,105,0.1,9,0.05,0.29,2.44,2.14,1.4822,1.05606
"226",,"Rhinichthys sp.","Rhinichthys sp.","LEUCISCIDAE","RhiSp",FALSE,11,117,12,121,0.1,22,0.08,0.32,2.56,2.24,0.94813,1.0523
"227",,"Semotilus sp.","Semotilus sp.","LEUCISCIDAE","SemSp",FALSE,17,276,19,300,0.1,325,0.05,0.1,2.71,2.34,0.37547,1.07069
"228",,"Hybopsis sp.","Hybopsis sp.","LEUCISCIDAE","HybSp",FALSE,3,100,5,110,0.1,33,0.05,0.1,2.71,2.33,-0.0012,1.10122
"229",,"Luxilus sp.","Luxilus sp.","LEUCISCIDAE","LuxSp",FALSE,12,157,13,172,0.1,45,0.08,0.28,2.19,1.93,0.60627,1.08753
"230",,"North American Catfish Family","Ictaluridae","ICTALURIDAE","CATFI",FALSE,12,830,12,900,0.1,11000,0.3,0.47,2.29,2.07,0,1
"231",,"Black Bullhead","Ameiurus melas","ICTALURIDAE","BlBul",FALSE,12,268,12,268,0.1,238,0.58,0.77,2.18,2,0,1
"232",,"Yellow Bullhead","Ameiurus natalis","ICTALURIDAE","YeBul",FALSE,32,330,32,330,1,482,0.58,0.77,2.18,2,0,1
"233",,"Brown Bullhead","Ameiurus nebulosus","ICTALURIDAE","BrBul",FALSE,12,456,12,456,0.1,1103,0.58,0.77,2.18,2,0,1
"234",,"Channel Catfish","Ictalurus punctatus","ICTALURIDAE","ChCat",FALSE,107,830,125,900,15,11000,0.3,0.47,2.29,2.07,14.1954,1.08608
"235",,"Stonecat","Noturus flavus","ICTALURIDAE","Stone",FALSE,26,273,26,273,4,253,0.45,0.6,1.73,1.58,0,1
"236",,"Tadpole Madtom","Noturus gyrinus","ICTALURIDAE","TaMad",FALSE,44,97,44,97,1,12,0.58,0.77,2.18,2,0,1
"237",,"Brindled Madtom","Noturus miurus","ICTALURIDAE","BrMad",FALSE,31,80,31,80,1,5,0.45,0.6,1.73,1.58,0,1
"238",,"Margined Madtom","Noturus insignis","ICTALURIDAE","MaMad",FALSE,26,159,26,159,1,43,0.45,0.6,1.73,1.58,0,1
"239",,"Flathead Catfish","Pylodictis olivaris","ICTALURIDAE","FhCat",FALSE,107,830,125,900,15,11000,0.3,0.47,2.29,2.07,0,1
